"","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22",5.34343035107875,50.9871861954599,0.0187169779092073,0.0150164999067783,0.0279957447201014,0.0175883788615465,0.0543197318911552,0.189859643578529,0.248594626784325,0.26676481962204,0.269519358873367,0.128535613417625,0.0592314973473549,"2015_07_06","S2A","V21","vegetation"
"23",5.34357235107875,50.9871861954599,0.0187169779092073,0.0191161818802357,0.0350520238280296,0.0235993564128876,0.0655331388115883,0.254321426153183,0.352317243814468,0.317713499069214,0.361955374479294,0.144044250249863,0.0640216246247292,"2015_07_06","S2A","V21","vegetation"
"33",5.34314635107875,50.9870963954599,0.0187169779092073,0.0232360828667879,0.0426228828728199,0.0327926501631737,0.0688202157616615,0.183773547410965,0.262147456407547,0.246357992291451,0.272383123636246,0.13821117579937,0.0782938450574875,"2015_07_06","S2A","V21","vegetation"
"34",5.34328835107875,50.9870963954599,0.0187169779092073,0.0218614935874939,0.038964256644249,0.029441449791193,0.0555058531463146,0.181833133101463,0.236912757158279,0.228964999318123,0.257664054632187,0.125156417489052,0.0599589161574841,"2015_07_06","S2A","V21","vegetation"
"35",5.34343035107875,50.9870963954599,0.0187169779092073,0.0195990018546581,0.0348462164402008,0.0209374614059925,0.0537270307540894,0.18370158970356,0.237117797136307,0.29481440782547,0.259134203195572,0.124540746212006,0.05769407376647,"2015_07_06","S2A","V21","vegetation"
"36",5.34357235107875,50.9870963954599,0.0187169779092073,0.0230340510606766,0.0412818379700184,0.0233644619584084,0.0651279613375664,0.25424861907959,0.350881934165955,0.368591547012329,0.362398982048035,0.142584353685379,0.0633161291480064,"2015_07_06","S2A","V21","vegetation"
"37",5.34371435107875,50.9870963954599,0.0187169779092073,0.0221824403852224,0.0419085025787354,0.0235577169805765,0.0673467069864273,0.266071796417236,0.37059697508812,0.395059317350388,0.37916773557663,0.146221622824669,0.0645730197429657,"2015_07_06","S2A","V21","vegetation"
"44",5.34286235107875,50.9870065954599,0.0265265759080648,0.0145169030874968,0.0293496567755938,0.0169917866587639,0.0557893849909306,0.246262714266777,0.324959963560104,0.297767579555511,0.320614248514175,0.131908059120178,0.0555472448468208,"2015_07_06","S2A","V21","vegetation"
"45",5.34300435107875,50.9870065954599,0.0194065850228071,0.0179428923875093,0.0346247181296349,0.0218969509005547,0.0593953095376492,0.187775075435638,0.242824748158455,0.29977011680603,0.271513313055038,0.118019990622997,0.0534723252058029,"2015_07_06","S2A","V21","vegetation"
"46",5.34314635107875,50.9870065954599,0.0187169779092073,0.0215562544763088,0.0378219299018383,0.027928814291954,0.0597445629537106,0.182110249996185,0.234869539737701,0.213833779096603,0.266757637262344,0.116674862802029,0.0532713569700718,"2015_07_06","S2A","V21","vegetation"
"47",5.34328835107875,50.9870065954599,0.0187169779092073,0.0190836079418659,0.0330660603940487,0.0268152058124542,0.0489009320735931,0.12745113670826,0.132351621985435,0.150303661823273,0.165253520011902,0.0873987451195717,0.043267022818327,"2015_07_06","S2A","V21","vegetation"
"48",5.34343035107875,50.9870065954599,0.0187169779092073,0.0178122594952583,0.0291040427982807,0.0168888512998819,0.0477590188384056,0.121695131063461,0.121555738151073,0.169078215956688,0.154564395546913,0.0843157544732094,0.0422134958207607,"2015_07_06","S2A","V21","vegetation"
"49",5.34357235107875,50.9870065954599,0.0187169779092073,0.0221588835120201,0.0379280745983124,0.0183604769408703,0.0519231557846069,0.2170799523592,0.269732356071472,0.305340230464935,0.318869680166245,0.110611066222191,0.0493188165128231,"2015_07_06","S2A","V21","vegetation"
"50",5.34371435107875,50.9870065954599,0.0187169779092073,0.0235302150249481,0.0430530346930027,0.0208735968917608,0.0523974113166332,0.227943405508995,0.286608308553696,0.41819766163826,0.337582528591156,0.113605856895447,0.0501280464231968,"2015_07_06","S2A","V21","vegetation"
"55",5.34257835107875,50.9869167954599,0.0235517397522926,0.0158182699233294,0.0298444628715515,0.0189759433269501,0.0612608268857002,0.202574148774147,0.253485500812531,0.299707889556885,0.295063763856888,0.139373108744621,0.0697276815772057,"2015_07_06","S2A","V21","vegetation"
"56",5.34272035107875,50.9869167954599,0.0238915607333183,0.0171137116849422,0.0337691716849804,0.0177481006830931,0.0543925128877163,0.234773620963097,0.315908282995224,0.324569016695023,0.316680908203125,0.127900063991547,0.0546582117676735,"2015_07_06","S2A","V21","vegetation"
"57",5.34286235107875,50.9869167954599,0.0242314040660858,0.0190997887402773,0.0372322387993336,0.0191665906459093,0.0542408153414726,0.237692683935165,0.319805830717087,0.361157089471817,0.318110466003418,0.127861097455025,0.0540631599724293,"2015_07_06","S2A","V21","vegetation"
"58",5.34300435107875,50.9869167954599,0.0177009608596563,0.0205336418002844,0.0359771400690079,0.0212921667844057,0.0574241951107979,0.188326746225357,0.24841633439064,0.329324543476105,0.27607336640358,0.114014931023121,0.0509982332587242,"2015_07_06","S2A","V21","vegetation"
"59",5.34314635107875,50.9869167954599,0.0175372827798128,0.0176152233034372,0.0298905149102211,0.018729517236352,0.057973850518465,0.18473818898201,0.242487818002701,0.153016239404678,0.27235358953476,0.113761812448502,0.0512306727468967,"2015_07_06","S2A","V21","vegetation"
"62",5.34357235107875,50.9869167954599,0.0182819943875074,0.016128946095705,0.0296958945691586,0.0159567110240459,0.051002811640501,0.212628111243248,0.265355587005615,0.182849854230881,0.312232494354248,0.108335219323635,0.048139151185751,"2015_07_06","S2A","V21","vegetation"
