"","rmse","rmse.sd","model","k","mae","mae.sd"
"1",2.12007569587,0.28403680428221,"f1",2,1.7408383819265,0.192567218332927
"2",2.38731170346705,0.508556904474842,"f2",2,2.06910102859697,0.514161549875303
"3",2.45335536121895,0.205473747966267,"f3",2,1.97335179414991,0.178840094552487
"4",6.62930968211618,4.90759719339676,"f4",2,3.43352114243622,1.70280311360927
"5",2.94913965362449,0.612612031190526,"f1",3,2.37728720362264,0.286688535570208
"6",2.42115179407934,0.16069583111407,"f2",3,2.02057632327924,0.28127491036324
"7",2.25658892100857,0.230499124445726,"f3",3,1.87522019629971,0.154545148159907
"8",4.10026969805655,2.15740906930305,"f4",3,2.6359310888775,0.786425005287315
"9",2.03409622449163,0.321525546297866,"f1",4,1.6442750546433,0.3820940919381
"10",2.40559809763896,0.343956915230017,"f2",4,2.04372616699942,0.281413678745948
"11",2.26407591711817,0.324015283081254,"f3",4,1.89491797905183,0.340690745703444
"12",2.73381210558355,0.651963268259301,"f4",4,2.0708634463098,0.446872749911499
"13",2.00046357762102,0.779887641701692,"f1",5,1.6846257795299,0.752845322482222
"14",2.64488422267432,0.487244972304947,"f2",5,2.28041736321162,0.447779538852028
"15",1.92575275277625,0.501125234014571,"f3",5,1.62252341515719,0.416629444516717
"16",3.1659826720449,1.59682714238332,"f4",5,2.39138826568817,0.90021491104178
"17",2.03041634193735,0.568333907385477,"f1",6,1.67208402658137,0.514274616375253
"18",2.45168358593322,0.562228267002369,"f2",6,2.08797874080871,0.463509961965462
"19",2.07207495616538,0.733436258016275,"f3",6,1.74441115122159,0.646345455391847
"20",2.67307824664297,1.08027043163898,"f4",6,2.22327198663231,0.872993495180037
"21",2.14094821865731,0.225109497571958,"f1",7,1.75537753748235,0.350545607705547
"22",2.48616653361995,0.589139542671488,"f2",7,2.11026496850061,0.642950101194024
"23",2.09306727901244,0.576282098305736,"f3",7,1.73829225356308,0.537882601901424
"24",2.13912556819248,0.634119278805896,"f4",7,1.76850870824399,0.593550692522462
"25",2.10553860527173,0.48769562555988,"f1",8,1.77217919300998,0.534848326552205
"26",2.45393115085612,0.478616558258569,"f2",8,2.10656597479066,0.420922133683839
"27",1.95775685835243,0.748880960802153,"f3",8,1.67083373738654,0.698170609514193
"28",2.02484660393943,0.542101050330857,"f4",8,1.66778999485033,0.554052497981006
