"","x","y","rhos_443","rhos_492","rhos_560","rhos_665","rhos_704","rhos_740","rhos_783","rhos_833","rhos_865","rhos_1614","rhos_2202","date","satellite","pond","class"
"25",5.32923035107875,50.9862881954599,0.0133392000570893,0.01714938133955,0.0356959290802479,0.0177507437765598,0.0537148043513298,0.234067127108574,0.304352104663849,0.339028358459473,0.331649661064148,0.115744210779667,0.0478987134993076,"2015_07_06","S2A","1J1","vegetation"
"26",5.32937235107875,50.9862881954599,0.012743903324008,0.0167403724044561,0.0348913855850697,0.0165411196649075,0.0493017584085464,0.231902167201042,0.302851438522339,0.347419500350952,0.342844784259796,0.111715622246265,0.0452425889670849,"2015_07_06","S2A","1J1","vegetation"
"27",5.32951435107875,50.9862881954599,0.012743903324008,0.0167110804468393,0.0341070182621479,0.0166900511831045,0.0476703830063343,0.21421554684639,0.28621917963028,0.349976569414139,0.314571797847748,0.103723302483559,0.04206707701087,"2015_07_06","S2A","1J1","vegetation"
"28",5.32965635107875,50.9862881954599,0.012743903324008,0.0154544971883297,0.0335908122360706,0.0163931362330914,0.045684065669775,0.194092750549316,0.267598479986191,0.333744168281555,0.282113671302795,0.0949760749936104,0.0384502001106739,"2015_07_06","S2A","1J1","vegetation"
"50",5.32937235107875,50.9861983954599,0.012743903324008,0.0182546656578779,0.0353330411016941,0.0174175631254911,0.054885022342205,0.248211219906807,0.322782307863235,0.330516815185547,0.34397554397583,0.127513512969017,0.052837822586298,"2015_07_06","S2A","1J1","vegetation"
"51",5.32951435107875,50.9861983954599,0.012743903324008,0.0193405225872993,0.0368034392595291,0.0180990379303694,0.0579210333526134,0.259256958961487,0.329224199056625,0.347781032323837,0.364345371723175,0.128159627318382,0.0551213920116425,"2015_07_06","S2A","1J1","vegetation"
"52",5.32965635107875,50.9861983954599,0.012743903324008,0.0193825922906399,0.0378484725952148,0.018595889210701,0.060648288577795,0.269179344177246,0.335010945796967,0.351947814226151,0.382643640041351,0.128740042448044,0.0571727305650711,"2015_07_06","S2A","1J1","vegetation"
"53",5.32979835107875,50.9861983954599,0.012743903324008,0.0185066610574722,0.0377614013850689,0.0176054686307907,0.0581223703920841,0.260922640562057,0.317694514989853,0.364923924207687,0.365125149488449,0.12002144753933,0.0531724132597446,"2015_07_06","S2A","1J1","vegetation"
"54",5.32994035107875,50.9861983954599,0.012743903324008,0.0169497933238745,0.0349834598600864,0.0167088136076927,0.0557893849909306,0.253296583890915,0.301700741052628,0.358706772327423,0.34894472360611,0.111968785524368,0.0494776479899883,"2015_07_06","S2A","1J1","vegetation"
"75",5.32951435107875,50.9861085954599,0.0131485173478723,0.0180909968912601,0.0358560793101788,0.016411641612649,0.0575330443680286,0.257402271032333,0.329801112413406,0.342086464166641,0.363498568534851,0.127080336213112,0.0542626716196537,"2015_07_06","S2A","1J1","vegetation"
"76",5.32965635107875,50.9861085954599,0.0130732031539083,0.0188906919211149,0.0366954319179058,0.0177059583365917,0.0604460202157497,0.268867135047913,0.339366465806961,0.339075803756714,0.383561491966248,0.128993406891823,0.0565010607242584,"2015_07_06","S2A","1J1","vegetation"
"77",5.32979835107875,50.9861085954599,0.0129978843033314,0.0192366652190685,0.0354938022792339,0.0180786494165659,0.057660598307848,0.25776532292366,0.319737136363983,0.341216415166855,0.361944645643234,0.119729578495026,0.0525193512439728,"2015_07_06","S2A","1J1","vegetation"
"78",5.32994035107875,50.9861085954599,0.0129225607961416,0.0189469680190086,0.0358849801123142,0.0183717384934425,0.055485226213932,0.250046163797379,0.303725302219391,0.344212770462036,0.345839202404022,0.112159915268421,0.0492508336901665,"2015_07_06","S2A","1J1","vegetation"
"79",5.33008235107875,50.9861085954599,0.0129888178780675,0.0199622716754675,0.0371243208646774,0.0189145524054766,0.054206732660532,0.224106207489967,0.260994434356689,0.337291806936264,0.312178522348404,0.102542020380497,0.0439182445406914,"2015_07_06","S2A","1J1","vegetation"
"80",5.33022435107875,50.9861085954599,0.0130361253395677,0.0214132890105247,0.0403775349259377,0.0199568886309862,0.0534756556153297,0.20415061712265,0.228478878736496,0.322285205125809,0.28760027885437,0.095086358487606,0.0396265313029289,"2015_07_06","S2A","1J1","vegetation"
"81",5.33036635107875,50.9861085954599,0.0130096869543195,0.0206925012171268,0.0409979522228241,0.0209791958332062,0.0541883334517479,0.183278471231461,0.226254865527153,0.302244901657104,0.257417678833008,0.0916455462574959,0.0397192500531673,"2015_07_06","S2A","1J1","vegetation"
"82",5.33050835107875,50.9861085954599,0.0130096869543195,0.0211097933351994,0.0411182977259159,0.0233715921640396,0.0546589083969593,0.164398267865181,0.223536431789398,0.30394059419632,0.229957237839699,0.0885182768106461,0.0397192500531673,"2015_07_06","S2A","1J1","vegetation"
"83",5.33065035107875,50.9861085954599,0.0130096869543195,0.0232755243778229,0.0431909374892712,0.0265493076294661,0.0557985603809357,0.170898348093033,0.236999675631523,0.307241708040237,0.232572689652443,0.0940089076757431,0.0427113249897957,"2015_07_06","S2A","1J1","vegetation"
"84",5.33079235107875,50.9861085954599,0.0130096869543195,0.0237581990659237,0.0434872210025787,0.0265009328722954,0.0568066462874413,0.176648065447807,0.248908713459969,0.310895621776581,0.234886199235916,0.098865695297718,0.0453579910099506,"2015_07_06","S2A","1J1","vegetation"
"85",5.33093435107875,50.9861085954599,0.0142616853117943,0.0220218021422625,0.041511531919241,0.0219941884279251,0.0578718893229961,0.202829241752625,0.257287740707397,0.335685878992081,0.27007856965065,0.102243892848492,0.0454715490341187,"2015_07_06","S2A","1J1","vegetation"
"88",5.33136035107875,50.9861085954599,0.0154003715142608,0.0236132480204105,0.0424263663589954,0.0236783847212791,0.05782375857234,0.213929504156113,0.278164863586426,0.331212729215622,0.306263148784637,0.108694113790989,0.0493692457675934,"2015_07_06","S2A","1J1","vegetation"
"99",5.32951435107875,50.9860187954599,0.0151348654180765,0.0159136522561312,0.0336201265454292,0.0151755679398775,0.0550529807806015,0.2466109842062,0.33330374956131,0.334795653820038,0.355919867753983,0.122234001755714,0.0495840795338154,"2015_07_06","S2A","1J1","vegetation"
"100",5.32965635107875,50.9860187954599,0.0151348654180765,0.0186575204133987,0.0381100885570049,0.0170601215213537,0.059179674834013,0.266912430524826,0.366635203361511,0.359533578157425,0.389307886362076,0.130579620599747,0.0522958971560001,"2015_07_06","S2A","1J1","vegetation"
"101",5.32979835107875,50.9860187954599,0.0151348654180765,0.0191875752061605,0.0366512462496758,0.0180642195045948,0.054830152541399,0.233614966273308,0.344575375318527,0.349370777606964,0.341547727584839,0.121221072971821,0.0488833114504814,"2015_07_06","S2A","1J1","vegetation"
"102",5.32994035107875,50.9860187954599,0.0151348654180765,0.0181587357074022,0.0336811095476151,0.017895145341754,0.0517188161611557,0.209796354174614,0.328795373439789,0.265207231044769,0.30738353729248,0.114526636898518,0.0464421957731247,"2015_07_06","S2A","1J1","vegetation"
"103",5.33008235107875,50.9860187954599,0.0152113456279039,0.0184451173990965,0.0337793156504631,0.0175624769181013,0.0446759052574635,0.154286339879036,0.225499004125595,0.182520419359207,0.211471050977707,0.0938749462366104,0.0380079485476017,"2015_07_06","S2A","1J1","vegetation"
"104",5.33022435107875,50.9860187954599,0.015267631970346,0.0200215373188257,0.0352893695235252,0.0190082900226116,0.0394926741719246,0.113433741033077,0.149478033185005,0.165122613310814,0.140884250402451,0.0786763280630112,0.0318007618188858,"2015_07_06","S2A","1J1","vegetation"
"105",5.33036635107875,50.9860187954599,0.0152193941175938,0.021548368036747,0.0362960994243622,0.021295502781868,0.0454828068614006,0.148889258503914,0.182056829333305,0.184901684522629,0.196890562772751,0.0844305008649826,0.0369843132793903,"2015_07_06","S2A","1J1","vegetation"
"106",5.33050835107875,50.9860187954599,0.0151482438668609,0.0207874625921249,0.0367523208260536,0.0209848396480083,0.0499457567930222,0.17392997443676,0.206011563539505,0.222118884325027,0.236667171120644,0.0885182768106461,0.0407463982701302,"2015_07_06","S2A","1J1","vegetation"
"107",5.33065035107875,50.9860187954599,0.0150770889595151,0.0197120700031519,0.0374881252646446,0.0208260472863913,0.0557909905910492,0.204572185873985,0.269158184528351,0.26073083281517,0.287752687931061,0.102607876062393,0.0451657101511955,"2015_07_06","S2A","1J1","vegetation"
"108",5.33079235107875,50.9860187954599,0.0150059293955564,0.0209731925278902,0.0394731797277927,0.0218271538615227,0.0601031593978405,0.226889878511429,0.315503686666489,0.309118181467056,0.324512898921967,0.113073259592056,0.0485209785401821,"2015_07_06","S2A","1J1","vegetation"
"109",5.33093435107875,50.9860187954599,0.0158216152340174,0.0233864840120077,0.0435133948922157,0.021079121157527,0.0615422613918781,0.2394959628582,0.313408344984055,0.350094169378281,0.329749643802643,0.117403872311115,0.0503759570419788,"2015_07_06","S2A","1J1","vegetation"
"110",5.33107635107875,50.9860187954599,0.0164900664240122,0.0234573446214199,0.0452592484652996,0.0210452098399401,0.0626430064439774,0.250125199556351,0.311830312013626,0.350922584533691,0.335230380296707,0.120687834918499,0.0517161712050438,"2015_07_06","S2A","1J1","vegetation"
"111",5.33121835107875,50.9860187954599,0.0164482314139605,0.0229954142123461,0.0424836277961731,0.0226053074002266,0.0573403015732765,0.214344277977943,0.273766338825226,0.313069432973862,0.290801525115967,0.109811067581177,0.0484922118484974,"2015_07_06","S2A","1J1","vegetation"
"112",5.33136035107875,50.9860187954599,0.0164063964039087,0.0242341421544552,0.0413633957505226,0.02303322032094,0.0532818399369717,0.186746343970299,0.245266765356064,0.301118910312653,0.257292211055756,0.101632155478001,0.0461642704904079,"2015_07_06","S2A","1J1","vegetation"
"113",5.33150235107875,50.9860187954599,0.0163645576685667,0.0256465077400208,0.0443216562271118,0.0236698519438505,0.058239072561264,0.203345149755478,0.261263310909271,0.331682771444321,0.285388201475143,0.113201797008514,0.0525465048849583,"2015_07_06","S2A","1J1","vegetation"
"124",5.32965635107875,50.9859289954599,0.0151348654180765,0.0192565005272627,0.0387691296637058,0.0187241192907095,0.0591340512037277,0.262426525354385,0.356676578521729,0.379963338375092,0.379760503768921,0.128253623843193,0.051726870238781,"2015_07_06","S2A","1J1","vegetation"
"125",5.32979835107875,50.9859289954599,0.0151348654180765,0.0208820756524801,0.0411727465689182,0.0194325335323811,0.0554402880370617,0.235574975609779,0.341529607772827,0.381146997213364,0.34243905544281,0.120494231581688,0.0488808304071426,"2015_07_06","S2A","1J1","vegetation"
"126",5.32994035107875,50.9859289954599,0.0151348654180765,0.0196463912725449,0.0353654064238071,0.0180194322019815,0.0526895895600319,0.215544879436493,0.33002570271492,0.278278976678848,0.314497947692871,0.115053869783878,0.0468380115926266,"2015_07_06","S2A","1J1","vegetation"
"127",5.33008235107875,50.9859289954599,0.0152155365794897,0.0177740566432476,0.0283001437783241,0.0171606745570898,0.0443900600075722,0.152101695537567,0.219610005617142,0.131372466683388,0.20740669965744,0.0922490432858467,0.0374186225235462,"2015_07_06","S2A","1J1","vegetation"
"128",5.33022435107875,50.9859289954599,0.015267631970346,0.0175434108823538,0.0255037471652031,0.0173759944736958,0.0394527912139893,0.113290749490261,0.149302259087563,0.0645375996828079,0.140753298997879,0.0784613862633705,0.0317253246903419,"2015_07_06","S2A","1J1","vegetation"
"129",5.33036635107875,50.9859289954599,0.015267631970346,0.0185297857969999,0.0280268471688032,0.0190616827458143,0.0456137657165527,0.150093361735344,0.182849928736687,0.106384210288525,0.198645904660225,0.0845883712172508,0.0372088365256786,"2015_07_06","S2A","1J1","vegetation"
